,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,feature_type,geonames_id,emissions_factor,fuel_use_mix,eui_residential_multiplier,eui_commercial_multiplier,source,acquisition_date,valid_start_date,valid_end_date,notes
0,0.0,0.0,,North America,Continent,6255149,"[{'Carbon Dioxide (CO2) Factor': 'Propane', 'Pounds CO2 (Per Unit of Volume or Mass)': '12.68 gallon', 'Kilograms CO2 (Per Unit of Volume or Mass)': '5.75 gallon', 'Pounds CO2 Per Million Btu': 138.63, 'Kilograms CO2 Per Million Btu': 62.88}, {'Carbon Dioxide (CO2) Factor': 'Diesel and Home Heating Fuel (Distillate Fuel Oil)', 'Pounds CO2 (Per Unit of Volume or Mass)': '22.45 gallon', 'Kilograms CO2 (Per Unit of Volume or Mass)': '10.19 gallon', 'Pounds CO2 Per Million Btu': 163.45, 'Kilograms CO2 Per Million Btu': 74.14}, {'Carbon Dioxide (CO2) Factor': 'Kerosene', 'Pounds CO2 (Per Unit of Volume or Mass)': '21.78 gallon', 'Kilograms CO2 (Per Unit of Volume or Mass)': '9.88 gallon', 'Pounds CO2 Per Million Btu': 161.35, 'Kilograms CO2 Per Million Btu': 73.19}, {'Carbon Dioxide (CO2) Factor': 'Coal (All types)', 'Pounds CO2 (Per Unit of Volume or Mass)': '3,876.61 short ton', 'Kilograms CO2 (Per Unit of Volume or Mass)': '1,758.40 short ton', 'Pounds CO2 Per Million Btu': 211.87, 'Kilograms CO2 Per Million Btu': 96.1}, {'Carbon Dioxide (CO2) Factor': 'Natural Gas', 'Pounds CO2 (Per Unit of Volume or Mass)': '120.96 thousand cubic feet', 'Kilograms CO2 (Per Unit of Volume or Mass)': '54.87 thousand cubic feet', 'Pounds CO2 Per Million Btu': 116.65, 'Kilograms CO2 Per Million Btu': 52.91}, {'Carbon Dioxide (CO2) Factor': 'Finished Motor Gasolinea', 'Pounds CO2 (Per Unit of Volume or Mass)': '17.86 gallon', 'Kilograms CO2 (Per Unit of Volume or Mass)': '8.10 gallon', 'Pounds CO2 Per Million Btu': 148.47, 'Kilograms CO2 Per Million Btu': 67.34}, {'Carbon Dioxide (CO2) Factor': 'Motor Gasoline', 'Pounds CO2 (Per Unit of Volume or Mass)': '19.37 gallon', 'Kilograms CO2 (Per Unit of Volume or Mass)': '8.78 gallon', 'Pounds CO2 Per Million Btu': 155.77, 'Kilograms CO2 Per Million Btu': 70.66}, {'Carbon Dioxide (CO2) Factor': 'Residual Heating Fuel (Businesses only)', 'Pounds CO2 (Per Unit of Volume or Mass)': '24.78 gallon', 'Kilograms CO2 (Per Unit of Volume or Mass)': '11.24 gallon', 'Pounds CO2 Per Million Btu': 165.55, 'Kilograms CO2 Per Million Btu': 75.09}]",,,,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
1,1.0,1.0,,Mexico,Country,3996063,,"[{'Residential Non-Electricity Heating Source': 'Natural Gas', ""Percentage Of New Total (less 'Other')"": 0.13052464284345058, 'Kg CO2 emissions/ MMBtu': 52.91, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 6.90605885284697}, {'Residential Non-Electricity Heating Source': 'Propane', ""Percentage Of New Total (less 'Other')"": 0.8627661465431009, 'Kg CO2 emissions/ MMBtu': 62.88, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 54.25073529463019}, {'Residential Non-Electricity Heating Source': 'Kerosene / Petroleum', ""Percentage Of New Total (less 'Other')"": 0.006709210613448394, 'Kg CO2 emissions/ MMBtu': 73.66499999999999, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 0.49423399983967586}, {'Residential Non-Electricity Heating Source': 'Biogas', ""Percentage Of New Total (less 'Other')"": 0, 'Kg CO2 emissions/ MMBtu': 79.23751125819331, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 0}]",,,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
2,2.0,2.0,,Indonesia,Country,1643084,,"[{'Residential Non-Electricity Heating Source': 'Natural Gas', ""Percentage Of New Total (less 'Other')"": 0.004214963119072708, 'Kg CO2 emissions/ MMBtu': 52.91, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 0.22301369863013695}, {'Residential Non-Electricity Heating Source': 'Propane', ""Percentage Of New Total (less 'Other')"": 0.9569608473718063, 'Kg CO2 emissions/ MMBtu': 62.88, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 60.173698082739186}, {'Residential Non-Electricity Heating Source': 'Kerosene / Petroleum', ""Percentage Of New Total (less 'Other')"": 0.03636089937459801, 'Kg CO2 emissions/ MMBtu': 73.66499999999999, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 2.678525652429762}, {'Residential Non-Electricity Heating Source': 'Biogas', ""Percentage Of New Total (less 'Other')"": 0.002463290134523011, 'Kg CO2 emissions/ MMBtu': 79.23751125819331, 'CO2 Emissions Weighted by Percentage of Fuel Mix': 0.1951849797664636}]",,,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
3,3.0,,,Cancun,Municipality,3531673,,,12.03125,6.943609022556391,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
4,4.0,,,Guadalajara,Municipality,4005539,,,29.21875,16.7593984962406,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
5,5.0,,,Guanajuato,Municipality,4005270,,,27.5,16.165413533834588,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
6,6.0,,,Hermosillo,Municipality,4004898,,,37.34375,18.07142857142857,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
7,7.0,,,Mazatlan,Municipality,3996322,,,15.15625,8.913533834586467,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
8,8.0,,,Merida,Municipality,3523349,,,13.28125,6.693609022556391,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
9,9.0,,,Mexicali,Municipality,3996069,,,32.8125,15.851503759398495,Wikipedia,2023-10-13,2000-01-01,2023-01-01,
